product_id,product_name,brand_name,subcategory_id,cost,price,stock_quantity,supplier_id,added_date
02b1a30e,Gazelle,Adidas,6,65.00,80.00,288,1,"2022-10-24 00:00:00"
067726a7,"Forum Low",Adidas,4,70.00,90.00,909,6,"2023-06-19 00:00:00"
0ebf31b8,"Inspiron 15",Dell,2,440.00,549.00,638,8,"2023-08-11 00:00:00"
12f924fc,"Galaxy Tab S7",Samsung,3,520.00,649.00,839,2,"2023-11-11 00:00:00"
1350fb0b,Adilette,Adidas,6,18.00,25.00,902,6,"2022-10-08 00:00:00"
17e9d865,"Lack Table",IKEA,9,8.00,10.00,529,4,"2022-01-12 00:00:00"
181fdb70,"Galaxy Book",Samsung,1,800.00,999.00,561,6,"2022-12-26 00:00:00"
1997475f,"AirPods Pro",Apple,2,200.00,249.00,900,3,"2022-11-01 00:00:00"
19ec4ac2,"Galaxy M51",Samsung,3,320.00,399.00,810,10,"2022-08-24 00:00:00"
1a95d70a,"MacBook Pro",Apple,3,1100.00,1299.00,428,7,"2022-09-15 00:00:00"
1b638af7,"Alienware Aurora",Dell,2,1050.00,1299.00,216,9,"2023-07-31 00:00:00"
1ce5457e,"Galaxy Watch",Samsung,3,200.00,249.00,508,7,"2022-01-12 00:00:00"
203dcfad,"Hemnes Dresser",IKEA,7,200.00,249.00,279,9,"2022-12-18 00:00:00"
249f033a,Blazer,Nike,6,80.00,100.00,650,7,"2022-03-23 00:00:00"
25703c01,"Apple TV",Apple,1,140.00,179.00,970,3,"2023-03-13 00:00:00"
291a0675,"Mac Mini",Apple,1,580.00,699.00,62,10,"2022-07-14 00:00:00"
29f79619,"G5 Gaming Desktop",Dell,2,650.00,799.00,265,2,"2022-02-11 00:00:00"
2a0d49cb,AirTag,Apple,1,22.00,29.00,486,10,"2023-10-16 00:00:00"
2a5fd943,"Air Force 1",Nike,4,70.00,90.00,280,9,"2022-08-31 00:00:00"
2a986032,"Stan Smith",Adidas,6,65.00,85.00,625,9,"2022-08-26 00:00:00"
38592fe6,"Air Jordan",Nike,4,120.00,150.00,424,1,"2022-09-22 00:00:00"
3d7b5455,"iPhone 13",Apple,1,600.00,799.00,778,9,"2022-12-18 00:00:00"
